songName,artistName,genreName,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo
Stuck in a Box,The Alchemist,alternative hip hop,0.527,0.566,0.569,0.000578,0.449,-6.505,0.0505,77.911
Storm Coming,The Alchemist,alternative hip hop,0.12,0.596,0.63,0.018,0.368,-9.871,0.212,93.845
Troubles,The Alchemist,alternative hip hop,0.353,0.731,0.517,0.000386,0.887,-8.208,0.298,92.714
Forever,The Alchemist,alternative hip hop,0.458,0.336,0.499,0.000294,0.407,-11.201,0.0446,139.358
Ascention ,The Alchemist,alternative hip hop,0.465,0.502,0.454,0.768,0.286,-17.366,0.0421,83.219
You Can Do It,The Alchemist,alternative hip hop,0.943,0.376,0.489,0.0000518,0.746,-11.931,0.101,84.603
InNOut,The Alchemist,alternative hip hop,0.111,0.433,0.789,0.000014,0.454,-8.173,0.35,81.19
Elevator to Heaven,The Alchemist,alternative hip hop,0.485,0.576,0.739,0.0000287,0.485,-7.622,0.206,76.243
Recess,The Alchemist,alternative hip hop,0.181,0.617,0.752,0,0.255,-8.037,0.0831,79.957
Hope & Despair,The Alchemist,alternative hip hop,0.894,0.546,0.253,0.658,0.566,-12.549,0.0308,72.025
Complete Undivided Crucifixion,The Alchemist,alternative hip hop,0.122,0.594,0.758,0.798,0.805,-10.037,0.0725,78.988
CPT,The Alchemist,alternative hip hop,0.449,0.532,0.569,0,0.823,-8.866,0.105,84.377
Ride for Me,The Alchemist,alternative hip hop,0.476,0.462,0.696,0,0.373,-7.296,0.389,55.866
Bel Air Baptism,The Alchemist,alternative hip hop,0.343,0.735,0.503,0.688,0.246,-9.03,0.0426,77.001
The More I Know the More I Miss,The Alchemist,alternative hip hop,0.00657,0.233,0.396,0.205,0.235,-11.152,0.0352,73.813
By My Side,The Alchemist,alternative hip hop,0.0714,0.406,0.765,0,0.407,-7.019,0.165,77.106
Word of God,The Alchemist,alternative hip hop,0.0151,0.418,0.735,0,0.619,-7.663,0.0948,77.456
Salvation & Light,The Alchemist,alternative hip hop,0.554,0.521,0.654,0.505,0.226,-9.699,0.24,77.049
Contemplating Reality,The Alchemist,alternative hip hop,0.68,0.441,0.608,0.00025,0.197,-9.117,0.118,85.729
My Life,The Alchemist,alternative hip hop,0.156,0.438,0.666,0.0705,0.71,-9.548,0.0571,76.983
Elevator to Heaven ,The Alchemist,alternative hip hop,0.803,0.448,0.487,0.00484,0.0958,-12.901,0.105,82.174
Gods Perfect 10,The Alchemist,alternative hip hop,0.955,0.515,0.496,0.00388,0.185,-9.638,0.123,113.837
Just Chuuch Friends,The Alchemist,alternative hip hop,0.534,0.411,0.669,0.0000635,0.9,-8.494,0.069,81.912
